Movie Name,Rating,Year,Director,Writers,User Reviews,Genre,Summary,URL,Genre List,Cast 1,Cast 2
Sirf Ek Bandaa Kaafi Hai,8.1,2011,Vetrimaaran,Meghana Karthik,19,Action,Falling in love with Irene as well as refusing to obey his boss Pettaikaran in a rooster fight complicates Karuppu's life.,https://www.imdb.com/title/tt1821317/?ref_=fea_eds_center-3_IndiaTop250_159,"Action, Drama, Romance",Dhanush,Taapsee Pannu
Aadukalam,8.2,2012,Balaji Tharaneetharan,Balaji Tharaneetharan,18,Comedy,"A young man forgets a few years of his life, even as he is about to get married.",https://www.imdb.com/title/tt2564144/?ref_=fea_eds_center-3_IndiaTop250_160,"Comedy, Drama",Vijay Sethupathi,Gayathrie
Naduvula Konjam Pakkatha Kaanom,8.1,1968,Jyoti Swaroop,Rajendra Krishan,28,Comedy,A simple man from a village falls in love with his new neighbor. He enlists the help of his musical-theater friends to woo the lovely girl-next-door away from her music teacher.,https://www.imdb.com/title/tt0063404/?ref_=fea_eds_center-3_IndiaTop250_161,"Comedy, Musical, Romance",Sunil Dutt,Saira Banu
Padosan,8.1,2017,Lokesh Kanagaraj,Lokesh Kanagaraj,33,Action,Four youngsters arrive in a big city and their lives become interlinked.,https://www.imdb.com/title/tt5559528/?ref_=fea_eds_center-3_IndiaTop250_162,"Action, Thriller",Sundeep Kishan,Sri
Maanagaram,8.3,2022,Prashanth Neel,Prashanth Neel,1.9K,Action,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes, while the government sees him as a threat to law and order. Rocky must battle threats from all sides for uncha... Read all",https://www.imdb.com/title/tt10698680/?ref_=fea_eds_center-3_IndiaTop250_163,"Action, Crime, Drama",Yash,Sanjay Dutt
K.G.F: Chapter 2,8.0,1999,Mahesh Manjrekar,Imtiaz Hussain,25,Action,Consequences force an innocent man to get involved in crime after making an error.,https://www.imdb.com/title/tt0220832/?ref_=fea_eds_center-3_IndiaTop250_164,"Action, Crime, Drama",Sanjay Dutt,Namrata Shirodkar
Vaastav: The Reality,8.0,1975,Yash Chopra,Javed Akhtar,38,Action,"Vijay struggles as a dockworker and eventually becomes a leading figure of the underworld, while his younger brother Ravi is an educated, upright policeman. This divide causes problems in th... Read all",https://www.imdb.com/title/tt0072860/?ref_=fea_eds_center-3_IndiaTop250_165,"Action, Crime, Drama",Amitabh Bachchan,Shashi Kapoor
Deewaar,8.2,2023,Hemanth M. Rao,Hemanth M. Rao,88,Drama,"Manu and Priya hail from a middle-class background and fall in love. When circumstances land Manu in jail, his relationship with Priya is put in jeopardy.",https://www.imdb.com/title/tt11992424/?ref_=fea_eds_center-3_IndiaTop250_166,"Drama, Romance",Rakshit Shetty,Rukmini Vasanth
Saptha Sagaradaache Ello - Side A,8.0,2002,Ram Gopal Varma,H. Banerjee,47,Action,"A small-time gangster named Chandu teams up with Malik, a low-level enforcer for a criminal syndicate. Together they eliminate all their enemies, becoming the most feared gangsters in Mumbai... Read all",https://www.imdb.com/title/tt0296574/?ref_=fea_eds_center-3_IndiaTop250_167,"Action, Crime, Drama",Ajay Devgn,Mohanlal
Company,8.2,2016,Ravikanth Perepu,Adivi Sesh,22,Mystery,"Rishi, a non-resident Indian, returns to India to help his ex-lover find her kidnapped daughter.",https://www.imdb.com/title/tt5504168/?ref_=fea_eds_center-3_IndiaTop250_168,"Mystery, Thriller",Adivi Sesh,Adah Sharma
Kshanam,8.6,2024,Blessy,Benyamin,141,Adventure,"The real-life incident of an Indian migrant worker, Najeeb Muhammad, who goes to Saudi Arabia to earn money. However, in a twist of fate, he finds himself living a slave-like existence, herd... Read all",https://www.imdb.com/title/tt5525650/?ref_=fea_eds_center-3_IndiaTop250_169,"Adventure, Drama",Prithviraj Sukumaran,Jimmy Jean-Louis
The Goat Life,8.1,2021,Martin Prakkat,Shahi Kabir,164,Crime,"Three police officers who are on a run for life, escaping the outbreak against them due to the unlawful arrest and torture of a civilian. It brings in a few shades of arrogant yet very much ... Read all",https://www.imdb.com/title/tt11604676/?ref_=fea_eds_center-3_IndiaTop250_170,"Crime, Thriller",Kunchacko Boban,Joju George
Nayattu,8.1,2019,Venkat Ramji,Venkat Ramji,95,Crime,Sub-inspector Vikram Vasudev is entrusted with the task of investigating the murder of a high ranking officer who was killed by his alleged rape victim. When he delves deeper into the case h... Read all,https://www.imdb.com/title/tt10545484/?ref_=fea_eds_center-3_IndiaTop250_171,"Crime, Drama, Mystery",Adivi Sesh,Regina Cassandra
Evaru,8.3,2021,Raj B. Shetty,Raj B. Shetty,168,Crime,"Set in the backdrop of the coastal and cultural city of modern-day Mangaluru, Hari and his soulmate Shiva rise together to great heights only to face off as bitter enemies resulting to their... Read all",https://www.imdb.com/title/tt11953248/?ref_=fea_eds_center-3_IndiaTop250_172,"Crime, Drama, Thriller",Raj B. Shetty,Rishab Shetty
Garuda Gamana Vrishabha Vahana,8.0,2015,Martin Prakkat,Martin Prakkat,78,Adventure,"A young, nonconforming woman named Tessa gets entangled in a cat-and-mouse chase in the by-lanes of Kerala, hunting for a mysterious artist who previously lived in her apartment.",https://www.imdb.com/title/tt5082014/?ref_=fea_eds_center-3_IndiaTop250_173,"Adventure, Drama, Romance",Dulquer Salmaan,Parvathy Thiruvothu
Charlie,7.9,2013,Anurag Kashyap,Akhilesh Jaiswal,132,Crime,The case of a missing girl takes us through a journey of human greed and brushes upon the egos and repressed emotions of the characters.,https://www.imdb.com/title/tt2882328/?ref_=fea_eds_center-3_IndiaTop250_174,"Crime, Drama, Mystery",Rahul Bhat,Ronit Roy
Ugly,8.3,2010,Ranjith,Ranjith,13,Comedy,Pranchiyettan is a successful businessman who often has talks with an imaginary St. Francis of Assisi. The story deals with how he goes about changing his embarrassing image to making a name... Read all,https://www.imdb.com/title/tt1695800/?ref_=fea_eds_center-3_IndiaTop250_175,"Comedy, Drama",Mammootty,Priyamani
Pranchiyettan and the Saint,7.9,2018,Amit Ravindernath Sharma,Akshat Ghildial,258,Comedy,A man is embarrassed when he finds out his mother is pregnant.,https://www.imdb.com/title/tt7725596/?ref_=fea_eds_center-3_IndiaTop250_176,"Comedy, Drama",Ayushmann Khurrana,Neena Gupta
Badhaai Ho,8.0,2020,Sachy,Sachy,122,Action,"The story revolves around the clash between Ayyappan, a senior police officer who serves at the Attappadi Police Station and Havildar Koshi, who comes to the village with a motive.",https://www.imdb.com/title/tt11322920/?ref_=fea_eds_center-3_IndiaTop250_177,"Action, Drama, Thriller",Biju Menon,Prithviraj Sukumaran
Ayyappanum Koshiyum,8.0,2016,Mathur Goswami,Neeraj Pandey,265,Biography,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,https://www.imdb.com/title/tt4169250/?ref_=fea_eds_center-3_IndiaTop250_178,"Biography, Drama, Sport",Sushant Singh Rajput,Kiara Advani
M.S. Dhoni: The Untold Story,8.2,2011,A.L. Vijay,Vijay,49,Drama,"A man with disabilities fights for custody of his 7-year-old daughter, and in the process teaches his opponent lawyer the value of love and family.",https://www.imdb.com/title/tt1857670/?ref_=fea_eds_center-3_IndiaTop250_179,Drama,Vikram,Anushka Shetty
Deiva Thirumagal,8.1,2011,Srijit Mukherji,Annapurna Basu,22,Action,An ex-cop is hired to track down a serial killer who carries out his killings according to Bengali poetry.,https://www.imdb.com/title/tt2075108/?ref_=fea_eds_center-3_IndiaTop250_180,"Action, Crime, Drama",Prasenjit Chatterjee,Parambrata Chattopadhyay
22 Shey Shraban,7.9,2010,Karan Johar,Shibani Bathija,361,Adventure,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,https://www.imdb.com/title/tt1188996/?ref_=fea_eds_center-3_IndiaTop250_181,"Adventure, Drama, Romance",Shah Rukh Khan,Kajol
My Name Is Khan,8.1,2017,Dileesh Pothan,Sajeev Pazhoor,39,Crime,"Prasad and Sreeja enter wedlock and move to a new place to continue the rest of their lives. Unfortunate events begin to take place after Prasad, a small-time thief, robs Sreeja's gold chain... Read all",https://www.imdb.com/title/tt5906392/?ref_=fea_eds_center-3_IndiaTop250_182,"Crime, Drama, Thriller",Fahadh Faasil,Suraj Venjaramoodu
Thondi Muthalum Driksakshiyum,7.9,2019,Zoya Akhtar,Zoya Akhtar,493,Drama,A coming-of-age story based on the lives of street rappers in Mumbai.,https://www.imdb.com/title/tt2395469/?ref_=fea_eds_center-3_IndiaTop250_183,"Drama, Music, Romance",Ranveer Singh,Alia Bhatt
Gully Boy,8.0,2012,Anand Gandhi,Anand Gandhi,80,Drama,"The film explores questions of identity, justice, beauty, meaning and death through an experimental photographer, an ailing monk and a young stockbroker.",https://www.imdb.com/title/tt1773764/?ref_=fea_eds_center-3_IndiaTop250_184,Drama,Aydah El-Kashef,Yogesh Shah
Ship of Theseus,8.1,2017,Mahesh Narayanan,Mahesh Narayanan,29,Action,"In 2014, a group of Malayali nurses was captured when terrorists took over the city of Tikrit in Iraq. This movie recounts the ordeal suffered by the nurses following their capture.",https://www.imdb.com/title/tt6315524/?ref_=fea_eds_center-3_IndiaTop250_185,"Action, Drama, Thriller",Parvathy Thiruvothu,Fahadh Faasil
Take Off,8.1,2022,Sashi Kiran Tikka,Adivi Sesh,708,Action,"Based on the life of Major Sandeep Unnikrishnan, who was martyred in action during the November 2008 Mumbai attacks.",https://www.imdb.com/title/tt9851854/?ref_=fea_eds_center-3_IndiaTop250_186,"Action, Biography, Drama",Adivi Sesh,Prakash Raj
Major,7.9,2003,Nikkhil Advani,Niranjan Iyengar,194,Comedy,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Nain... Read all",https://www.imdb.com/title/tt0347304/?ref_=fea_eds_center-3_IndiaTop250_187,"Comedy, Drama, Musical",Preity G Zinta,Shah Rukh Khan
Kal Ho Naa Ho,7.9,2007,Imtiaz Ali,Imtiaz Ali,126,Comedy,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,https://www.imdb.com/title/tt1093370/?ref_=fea_eds_center-3_IndiaTop250_188,"Comedy, Drama, Romance",Shahid Kapoor,Kareena Kapoor
Jab We Met,8.1,2010,Radha Krishna Jagarlamudi,Radha Krishna Jagarlamudi,29,Action,"Stories of 5 people, an educated slum dweller, an aspiring rock star, an old villager, a prostitute and an ostracized Muslim man; all lead up to a night in a hospital filled with jeopardy.",https://www.imdb.com/title/tt1649431/?ref_=fea_eds_center-3_IndiaTop250_189,"Action, Drama",Allu Arjun,Anushka Shetty
Vedam,7.9,2009,Anurag Kashyap,Sarat Chandra Chattopadhyay,140,Comedy,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they fin... Read all",https://www.imdb.com/title/tt1327035/?ref_=fea_eds_center-3_IndiaTop250_190,"Comedy, Drama, Romance",Abhay Deol,Mahie Gill
Dev.D,8.0,2015,Ketan Mehta,Shahzad Ahmed,87,Biography,"Using only a hammer and a chisel, a man spends twenty-two years carving a road through a treacherous mountain.",https://www.imdb.com/title/tt3449292/?ref_=fea_eds_center-3_IndiaTop250_191,"Biography, Drama",Nawazuddin Siddiqui,Radhika Apte
Manjhi: The Mountain Man,7.9,1997,J.P. Dutta,J.P. Dutta,48,Action,"In 1971, along the border region of Longewala, a small battalion of Indian soldiers goes up against a large Pakistani strike force.",https://www.imdb.com/title/tt0118751/?ref_=fea_eds_center-3_IndiaTop250_192,"Action, Drama, History",Sunny Deol,Suniel Shetty
Border,8.1,2022,Gautham Ramachandran,Hariharan Raju,90,Drama,The journey of a young school teacher to prove her father's innocence with the help of a juvenile advocate who's never even seen the interiors of a court hall.,https://www.imdb.com/title/tt21261388/?ref_=fea_eds_center-3_IndiaTop250_193,"Drama, Thriller",Sai Pallavi,Kaali Venkat
Gargi,8.0,2017,Anurag Kashyap,Anudeep Singh,81,Action,A boxer struggles to make his mark in the boxing world.,https://www.imdb.com/title/tt7180544/?ref_=fea_eds_center-3_IndiaTop250_194,"Action, Drama, Sport",Vineet Kumar Singh,Jimmy Shergill
The Brawler,8.2,2016,Rishab Shetty,Rakshit Shetty,34,Comedy,"Kirik Party is the story of a gang of mischievous students, lead by the protagonist Karna (Rakshit Shetty), who has just joined an engineering college.",https://www.imdb.com/title/tt6054758/?ref_=fea_eds_center-3_IndiaTop250_195,"Comedy, Drama, Romance",Rakshit Shetty,Rashmika Mandanna
Kirik Party,8.0,2023,Vignesh Raja,Alfred Prakash,81,Action,A bright but faint-hearted rookie cop has to overcome his fears in order to succeed in his first case which sees him partnered with a reclusive senior officer to catch a serial killer on the... Read all,https://www.imdb.com/title/tt27542289/?ref_=fea_eds_center-3_IndiaTop250_196,"Action, Crime, Thriller",R. Sarathkumar,Lisha Chinnu
Por Thozhil,8.1,2022,Vineeth Sreenivasan,Vineeth Sreenivasan,251,Drama,"The emotional journey of Arun, his carefree bachelor days in engineering college, and how he matures through various phases of life.",https://www.imdb.com/title/tt11375428/?ref_=fea_eds_center-3_IndiaTop250_197,"Drama, Musical, Romance",Pranav Mohanlal,Kalyani Priyadarshan
Hridayam,8.1,2010,Gautham Vasudev Menon,Gautham Vasudev Menon,46,Drama,An aspiring filmmaker goes through the ups and downs of romance when he falls for a Christian woman who says she only wants to be friends.,https://www.imdb.com/title/tt1609168/?ref_=fea_eds_center-3_IndiaTop250_198,"Drama, Romance",Silambarasan Rajendar,Trisha Krishnan
Vinnaithaandi Varuvaayaa,8.0,2015,S.S. Rajamouli,Vijayendra Prasad,609,Action,"A child from the Mahishmati kingdom is raised by tribal people and one day learns about his royal heritage, his father's bravery in battle and a mission to overthrow the incumbent ruler.",https://www.imdb.com/title/tt2631186/?ref_=fea_eds_center-3_IndiaTop250_199,"Action, Drama",Prabhas,Rana Daggubati
Baahubali: The Beginning,8.0,2023,Karthik Subbaraj,Karthik Subbaraj,57,Action,"In 1975, a filmmaker agrees to collaborate on a film with a gangster who wishes to become a famous actor.",https://www.imdb.com/title/tt24226474/?ref_=fea_eds_center-3_IndiaTop250_200,"Action, Comedy, Drama",Raghava Lawrence,S.J. Suryah
Jigarthanda Double X,7.9,1988,Mira Nair,Mira Nair,75,Crime,"Young Krishna struggles to survive among the drug dealers, pimps, and prostitutes in the back alleys and gutters of India.",https://www.imdb.com/title/tt0096028/?ref_=fea_eds_center-3_IndiaTop250_201,"Crime, Drama",Shafiq Syed,Anjaan
Salaam Bombay!,8.0,2021,Mari Selvaraj,Mari Selvaraj,362,Action,"Karnan, a fearless village youth, must fight for the rights of the conservative people of his village, due to the torture given by a police officer.",https://www.imdb.com/title/tt11581174/?ref_=fea_eds_center-3_IndiaTop250_202,"Action, Drama",Dhanush,Lal
Karnan,8.3,2020,Mukesh Chhabra,Shashank Khaitan,7.7K,Comedy,"The emotional journey of two hopelessly-in-love youngsters; a young girl, Kizie, who is suffering from cancer; and Manny, a boy Kizie meets at a support group.",https://www.imdb.com/title/tt8110330/?ref_=fea_eds_center-3_IndiaTop250_203,"Comedy, Drama, Romance",Sushant Singh Rajput,Sanjana Sanghi
Dil Bechara,8.1,2011,Rajesh Pillai,Bobby,14,Action,The lives of some different people get intertwined when a girl is in urgent need of a heart transplant with the only heart donor being many miles of traffic away.,https://www.imdb.com/title/tt1821682/?ref_=fea_eds_center-3_IndiaTop250_204,"Action, Adventure, Mystery",Sreenivasan,Kunchacko Boban
Traffic,7.9,2019,Vikas Bahl,Sanjeev Dutta,616,Biography,Based on the life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.,https://www.imdb.com/title/tt7485048/?ref_=fea_eds_center-3_IndiaTop250_205,"Biography, Drama",Hrithik Roshan,Mrunal Thakur
Super 30,7.9,2000,Kamal Haasan,H. Banerjee,72,Crime,Saketh Ram's wife is raped and killed during direct action day riots in Calcutta. He is convinced that Mahatma Gandhi is responsible for all the problems happening in the country and sets ou... Read all,https://www.imdb.com/title/tt0222012/?ref_=fea_eds_center-3_IndiaTop250_206,"Crime, Drama, History",Kamal Haasan,Shah Rukh Khan
Hey Ram,8.0,2022,Pradeep Ranganathan,Pradeep Ranganathan,76,Comedy,"Two young lovers, who are made to exchange their phones for a day and what happens due to that.",https://www.imdb.com/title/tt22488728/?ref_=fea_eds_center-3_IndiaTop250_207,"Comedy, Drama, Romance",Pradeep Ranganathan,Ivana
Love Today,7.9,2012,Karthik Subbaraj,Prasath Ramar,14,Horror,A pizza delivery boy lands in a mysterious circumstance and it works a dramatic change in his life.,https://www.imdb.com/title/tt2585562/?ref_=fea_eds_center-3_IndiaTop250_208,"Horror, Thriller",Vijay Sethupathi,Ramya Nambeeshan
Pizza,7.9,2018,R. Balki,R. Balki,145,Comedy,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India.",https://www.imdb.com/title/tt7218518/?ref_=fea_eds_center-3_IndiaTop250_209,"Comedy, Drama",Akshay Kumar,Radhika Apte
Pad Man,8.0,2019,Ratheesh Balakrishnan Poduval,Ratheesh Balakrishnan Poduval,69,Comedy,"Story of a conventional, conservative small town villager and his son who has to move away from home due to his profession. Their relationship gets an endearing twist when an AI humanoid ent... Read all",https://www.imdb.com/title/tt9526826/?ref_=fea_eds_center-3_IndiaTop250_210,"Comedy, Drama, Sci-Fi",Soubin Shahir,Suraj Venjaramoodu
Android Kunjappan Ver 5.25,8.1,2004,Dharani,Bharathan,47,Action,"Velu, an aspiring kabaddi player, goes to Madurai to participate in a regional match, where he rescues Dhanalakshmi from Muthupandi, a powerful man keen on marrying the girl against her will... Read all",https://www.imdb.com/title/tt0422320/?ref_=fea_eds_center-3_IndiaTop250_211,"Action, Drama, Romance",Joseph Vijay,Trisha Krishnan
Ghilli,7.9,2015,Neeraj Pandey,Neeraj Pandey,259,Action,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent t... Read all",https://www.imdb.com/title/tt3848892/?ref_=fea_eds_center-3_IndiaTop250_212,"Action, Crime, Thriller",Akshay Kumar,Danny Denzongpa
Baby,7.9,2013,Rajat Kapoor,Rajat Kapoor,105,Comedy,"After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions.",https://www.imdb.com/title/tt3614516/?ref_=fea_eds_center-3_IndiaTop250_213,"Comedy, Drama",Sanjay Mishra,Seema Pahwa
Ankhon Dekhi,7.8,2017,Saket Chaudhary,Sonu Sinha,111,Comedy,A couple from Chandni Chowk aspire to give their daughter the best education and thus be a part of and accepted by the elite of Delhi.,https://www.imdb.com/title/tt5764096/?ref_=fea_eds_center-3_IndiaTop250_214,"Comedy, Drama",Irrfan Khan,Saba Qamar
Hindi Medium,8.0,2018,M. Padmakumar,Shahi Kabir,76,Crime,"The story develops through the life of four retired policemen. It has the tone of a thriller investigation. An issue affecting the life of Joseph, the central character, and his family is be... Read all",https://www.imdb.com/title/tt8561086/?ref_=fea_eds_center-3_IndiaTop250_215,"Crime, Drama, Thriller",Joju George,Athmeeya Rajan
Joseph,8.0,2013,Jeethu Joseph,Jeethu Joseph,28,Mystery,"Sam Alex, a drunkard ex-cop, is forced to investigate a series of murders which are committed in the same pattern. His search leads to a serial killer, and something more than what he expect... Read all",https://www.imdb.com/title/tt3124456/?ref_=fea_eds_center-3_IndiaTop250_216,"Mystery, Thriller",Prithviraj Sukumaran,Sreejith Ravi
Memories,8.0,2021,Mahesh Narayanan,Mahesh Narayanan,389,Action,"A past ridden with crime, death and pain is recounted to Freddy, a juvenile criminal, who has been assigned to eliminate his estranged uncle Sulaiman, an aging patriarch, while behind bars.",https://www.imdb.com/title/tt10919240/?ref_=fea_eds_center-3_IndiaTop250_217,"Action, Biography, Crime",Fahadh Faasil,Nimisha Sajayan
Malik,8.1,2012,A.R. Murugadoss,Mayank Jain,134,Action,An army captain is on a mission to track down and destroy a terrorist gang and deactivate the sleeper cells under its command.,https://www.imdb.com/title/tt2187153/?ref_=fea_eds_center-3_IndiaTop250_218,"Action, Thriller",Joseph Vijay,Kajal Aggarwal
Thuppakki,8.1,2019,Vivek Agnihotri,Vivek Agnihotri,532,Drama,"Revolves around the mysterious death of India's 2nd Prime Minister Shri Lal Bahadur Shastri and attempts to uncover if he had actually died a natural death, or, as alleged, was assassinated.",https://www.imdb.com/title/tt8108268/?ref_=fea_eds_center-3_IndiaTop250_219,"Drama, Mystery, Thriller",Shweta Basu Prasad,Mithun Chakraborty
The Tashkent Files,7.9,2020,Midhun Manuel Thomas,Midhun Manuel Thomas,153,Crime,"The police are on the trail of a serial killer, but with the victims being fellow officers, will they be able to catch the killer and solve the case in time?",https://www.imdb.com/title/tt10717738/?ref_=fea_eds_center-3_IndiaTop250_220,"Crime, Mystery, Thriller",Kunchacko Boban,Jinu Joseph
Anjaam Pathiraa,7.9,1958,Satyajit Ray,Tarashankar Banerjee,42,Drama,"Depicts the end days of a decadent zamindar (landlord) in Bengal, and his efforts to uphold his family prestige even when faced with economic adversity.",https://www.imdb.com/title/tt0051792/?ref_=fea_eds_center-3_IndiaTop250_221,"Drama, Music",Chhabi Biswas,Gangapada Basu
The Music Room,7.8,2012,Gauri Shinde,Gauri Shinde,148,Comedy,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",https://www.imdb.com/title/tt2181931/?ref_=fea_eds_center-3_IndiaTop250_222,"Comedy, Drama, Family",Sridevi,Adil Hussain
English Vinglish,7.9,2017,Sandeep Reddy Vanga,Sandeep Reddy Vanga,150,Action,"Arjun Reddy, a short-tempered house surgeon, gets used to drugs and drinks when his girlfriend is forced to marry another person.",https://www.imdb.com/title/tt7294534/?ref_=fea_eds_center-3_IndiaTop250_223,"Action, Drama, Romance",Vijay Deverakonda,Shalini Pandey
Arjun Reddy,7.9,2007,Sriram Raghavan,Vinay Choudary,74,Crime,"Police officers recount a tale of missing money which results in lies, deceit, betrayal and death.",https://www.imdb.com/title/tt1077248/?ref_=fea_eds_center-3_IndiaTop250_224,"Crime, Drama, Thriller",Dharmendra,Rimi Sen
Johnny Gaddaar,7.9,2006,Nagesh Kukunoor,Nagesh Kukunoor,51,Drama,"Two woman --different backgrounds, miles apart, and strangers to each other-- are linked by tragedy. Their new-found friendship is tested as one holds the fate of the other's husband in her ... Read all",https://www.imdb.com/title/tt0824316/?ref_=fea_eds_center-3_IndiaTop250_225,Drama,Ayesha Takia,Shreyas Talpade
Dor,8.1,2024,Amit Ravindernath Sharma,Akash Chawla,150,Biography,"Inspired by the Indian national football team coach and manager Syed Abdul Rahim, who is regarded as the architect of Indian football.",https://www.imdb.com/title/tt10869778/?ref_=fea_eds_center-3_IndiaTop250_226,"Biography, Drama, History",Ajay Devgn,Priyamani
Maidaan,7.8,2004,Farhan Akhtar,Javed Akhtar,105,Action,"An aimless, jobless, irresponsible grown man joins the army and matures into a battlefield hero.",https://www.imdb.com/title/tt0323013/?ref_=fea_eds_center-3_IndiaTop250_227,"Action, Drama, Romance",Hrithik Roshan,Preity G Zinta
Lakshya,8.0,2006,Puri Jagannadh,Puri Jagannadh,24,Action,A money-minded criminal has to deal with two rival gangs as well as an evil cop threatening his girlfriend.,https://www.imdb.com/title/tt0816258/?ref_=fea_eds_center-3_IndiaTop250_228,"Action, Crime, Thriller",Mahesh Babu,Ileana D'Cruz
Pokiri,7.9,2024,Jithu Madhavan,Jithu Madhavan,100,Action,Three teenagers reach Bangalore for their engineering degree and gets involved in a fight with seniors. They find a local gangster named Ranga to help them take revenge.,https://www.imdb.com/title/tt26660021/?ref_=fea_eds_center-3_IndiaTop250_229,"Action, Comedy",Fahadh Faasil,Hipzster
Aavesham,8.0,2003,Gautham Vasudev Menon,Morgan Anthony,15,Action,"After a police team kills his brother, a drug-dealing gangster vows to kill the entire team and their respective families.",https://www.imdb.com/title/tt0375878/?ref_=fea_eds_center-3_IndiaTop250_230,"Action, Crime, Drama",Suriya,Jyotika
Kaakha Kaakha,7.9,2016,Raja Menon,Raja Menon,214,Action,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",https://www.imdb.com/title/tt4387040/?ref_=fea_eds_center-3_IndiaTop250_231,"Action, Drama, History",Akshay Kumar,Nimrat Kaur
Airlift,7.9,1970,Raj Kapoor,Khwaja Ahmad Abbas,29,Comedy,"Raju is a joker, a clown. It is what he is and what he always shall be. As his life story unfolds in three chapters, from his school days to the circus to the streets, he must always make pe... Read all",https://www.imdb.com/title/tt0066070/?ref_=fea_eds_center-3_IndiaTop250_232,"Comedy, Drama",Raj Kapoor,Manoj Kumar
Mera Naam Joker,8.0,2003,Gunasekhar,Gunasekhar,15,Action,A Kabbadi player rescues a young woman from an unwanted marriage and hides her in his home.,https://www.imdb.com/title/tt0366840/?ref_=fea_eds_center-3_IndiaTop250_233,"Action, Drama, Romance",Mahesh Babu,Bhoomika Chawla
Okkadu,7.9,2006,Gautham Vasudev Menon,Dasaradh,39,Action,"A Police Officer investigates a series of brutal rapes and murders, with the culprits seeming to cover more than one country.",https://www.imdb.com/title/tt0455829/?ref_=fea_eds_center-3_IndiaTop250_234,"Action, Crime, Drama",Kamal Haasan,Jyotika
Vettaiyaadu Vilaiyaadu,8.3,1999,Ezhil,Ezhil,20,Drama,"Kutty is a good-hearted soul, but unfortunate incidents tend to portray his ruffian side whenever he encounters the girl he loves. A bizarre incident brings them closer and yet keeps them ap... Read all",https://www.imdb.com/title/tt1517561/?ref_=fea_eds_center-3_IndiaTop250_235,"Drama, Romance",Joseph Vijay,Simran
Thulladha Manamum Thullum,8.1,2014,A.R. Murugadoss,A.R. Murugadoss,130,Action,A case of mistaken identity embroils an escaped convict in a fight against a large corporation intent on seizing a village's land.,https://www.imdb.com/title/tt3801314/?ref_=fea_eds_center-3_IndiaTop250_236,"Action, Drama",Joseph Vijay,Samantha Ruth Prabhu
Kaththi,7.8,2003,Prakash Jha,Prakash Jha,23,Action,"An IPS officer motivates and leads a dysfunctional, corrupt police force of Tezpur to fight against the corrupt politician.",https://www.imdb.com/title/tt0373856/?ref_=fea_eds_center-3_IndiaTop250_237,"Action, Crime, Drama",Ajay Devgn,Gracy Singh
Gangaajal,7.8,2013,Ritesh Batra,Ritesh Batra,262,Drama,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through ... Read all,https://www.imdb.com/title/tt2350496/?ref_=fea_eds_center-3_IndiaTop250_238,"Drama, Romance",Irrfan Khan,Nimrat Kaur
The Lunchbox,8.0,2016,Vamshi Paidipally,Hari,21,Comedy,"Impressed by his carefree attitude, quadriplegic multi-billionaire Vikram hires a convict out on parole as his caretaker. What follows is a string of life lessons they learn from each other.",https://www.imdb.com/title/tt5039054/?ref_=fea_eds_center-3_IndiaTop250_239,"Comedy, Drama",Nagarjuna Akkineni,Karthi
Oopiri,7.9,2013,Rosshan Andrrews,Bobby,36,Crime,"ACP Antony is the only one who knows the truth behind ACP Aaryan's murder. Antony meets with an accident, losing his memory and is unable to reveal the killer. He is forced to investigate th... Read all",https://www.imdb.com/title/tt2924472/?ref_=fea_eds_center-3_IndiaTop250_240,"Crime, Mystery, Thriller",Prithviraj Sukumaran,Jayasurya
Mumbai Police,7.8,2004,Yash Chopra,Aditya Chopra,196,Drama,"""Veer-Zaara"" is a saga of love, separation, courage, and sacrifice. A love story that is an inspiration and will remain a legend forever.",https://www.imdb.com/title/tt0420332/?ref_=fea_eds_center-3_IndiaTop250_241,"Drama, Family, Musical",Shah Rukh Khan,Preity G Zinta
