Movie Name,Rating,Year,Director,Writers,User Reviews,Genre,Summary,URL,Genre List,Cast 1,Cast 2
Barfi!,8.1,2010,Vikramaditya Motwane,Vikramaditya Motwane,123,Drama,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",https://www.imdb.com/title/tt1639426/?ref_=fea_eds_center-3_IndiaTop250_100,Drama,Rajat Barmecha,Ronit Roy
Udaan,8.3,2016,Dileesh Pothan,Syam Pushkaran,36,Comedy,"Mahesh, a studio photographer and studio owner gets into a fight and loses. He ends up taking revenge which leads to certain realizations in his life.",https://www.imdb.com/title/tt4851630/?ref_=fea_eds_center-3_IndiaTop250_101,"Comedy, Drama, Thriller",Fahadh Faasil,Aparna Balamurali
Maheshinte Prathikaaram,8.1,2015,Meghna Gulzar,Vishal Bhardwaj,114,Crime,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,https://www.imdb.com/title/tt4934950/?ref_=fea_eds_center-3_IndiaTop250_102,"Crime, Drama, Mystery",Irrfan Khan,Konkona Sen Sharma
Talvar,8.1,2012,Umesh Shukla,Alok Jha,157,Comedy,A shopkeeper takes God to court when his shop is destroyed by an earthquake.,https://www.imdb.com/title/tt2283748/?ref_=fea_eds_center-3_IndiaTop250_103,"Comedy, Drama, Fantasy",Paresh Rawal,Akshay Kumar
OMG: Oh My God!,8.3,1982,Gulzar,Gulzar,24,Comedy,"Based on Shakespeare's 'A Comedy of Errors', this is a story of identical twins (2 pairs) and mistaken identities.",https://www.imdb.com/title/tt0215517/?ref_=fea_eds_center-3_IndiaTop250_104,Comedy,Sanjeev Kumar,Moushumi Chatterjee
Angoor,8.2,2017,H. Vinoth,H. Vinoth,68,Action,"Theeran, a police officer, is entrusted with the task to solve the mystery behind a series of murders. The only clue left behind is that all the murders are committed in the same pattern.",https://www.imdb.com/title/tt7060460/?ref_=fea_eds_center-3_IndiaTop250_105,"Action, Crime, Thriller",Karthi,Rakul Preet Singh
Theeran Adhigaram Ondru,8.2,2012,Anwar Rasheed,Anjali Menon,52,Comedy,"Faisi wants to go to UK to become a professional chef but circumstances force him to assist his grandfather in a small restaurant in Kozhikode city, changing his outlook on life forever.",https://www.imdb.com/title/tt2218988/?ref_=fea_eds_center-3_IndiaTop250_106,"Comedy, Drama",Dulquer Salmaan,Thilakan
Ustad Hotel,8.1,2013,Vikas Bahl,Vikas Bahl,234,Adventure,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,https://www.imdb.com/title/tt3322420/?ref_=fea_eds_center-3_IndiaTop250_107,"Adventure, Comedy, Drama",Kangana Ranaut,Rajkummar Rao
Queen,8.1,2019,Anubhav Sinha,Anubhav Sinha,371,Crime,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.",https://www.imdb.com/title/tt10324144/?ref_=fea_eds_center-3_IndiaTop250_108,"Crime, Drama, Mystery",Ayushmann Khurrana,Nassar
Article 15,8.1,2002,Rajkumar Santoshi,Ranjit Kapoor,57,Action,The story of a young revolutionary who raised an armed resistance against the British rule in India.,https://www.imdb.com/title/tt0319736/?ref_=fea_eds_center-3_IndiaTop250_109,"Action, Biography, Drama",Ajay Devgn,Sushant Singh
