Movie Name,Rating,Year,Director,Genre,Summary,Genre List
Agent Sai Srinivasa Athreya,8.3,2019,Swaroop Rsj,Comedy,Agent Sai Srinivasa Athreya authentic humorous investigative thriller revolving around adventures detective based Nellore .,"Comedy, Crime, Mystery"
Pather Panchali,8.2,1955,Satyajit Ray,Drama,"Impoverished priest Harihar Ray , dreaming better life family , leaves rural Bengal village search work .",Drama
Mahanati,8.4,2018,Nag Ashwin,Biography,"Biography Savitri , actress South India movie industry , ruled industry two decades 50s 60s .","Biography, Drama"
Chithram,8.6,1988,Priyadarshan,Comedy,A woman hires stranger pose husband n't want ailing father know fiance broke engagement .,"Comedy, Drama, Musical"
Chhichhore,8.3,2019,Nitesh Tiwari,Comedy,"A tragic incident forces Anirudh , middle-aged man , take trip memory lane reminisce college days along friends , labelled losers .","Comedy, Drama, Romance"
Spadikam,8.6,1995,Bhadran,Action,A small-town criminal constantly clashes strict school headmaster father expense family lives .,"Action, Drama"
Vikram Vedha,8.2,2017,Gayatri,Action,"Vikram , no-nonsense police officer , accompanied Simon , partner , hunt capture Vedha , smuggler murderer . Vedha tries change Vikram 's life , leads con ... Read","Action, Crime, Drama"
Andhadhun,8.2,2018,Sriram Raghavan,Crime,"A series mysterious events change life blind pianist , must report crime technically know nothing .","Crime, Mystery, Thriller"
Vikram,8.3,2022,Lokesh Kanagaraj,Action,"A special investigator discovers case serial killings seems , leading path going end war everyone involved .","Action, Crime, Drama"
Iruvar,8.4,1997,Mani Ratnam,Biography,A struggling actor writer-politician become friends young men rise great heights cinema politics respectively . But become contenders top political po ... Read,"Biography, Drama"
Kannathil Muthamittal,8.3,2002,Mani Ratnam,Action,"A little girl told parents adopted . Determined find real mother , begs taken Sri Lanka , mother works militant group activists .","Action, Drama, War"
Super Deluxe,8.2,2019,Thiagarajan Kumararaja,Comedy,"An unfaithful newly-wed wife , estranged father , priest angry son suddenly find unexpected predicaments , poised experience destiny , one ... Read","Comedy, Crime, Drama"
Manjummel Boys,8.3,2024,Chidambaram,Adventure,"A group friends get daring rescue mission save friend Guna Caves , perilously deep pit nobody ever brought back .","Adventure, Drama, Thriller"
Sairat,8.3,2016,Nagraj Manjule,Drama,"In interior Maharashtra , fisherman 's son local politician 's daughter fall love restrictions caste hierarchy .","Drama, Romance"
Mudhalvan,8.4,1999,S. Shankar,Action,"A man accepts challenge act Chief Minister Tamil Nadu one day , makes success soon embroiled political intrigue .","Action, Drama, Thriller"
Aruvi,8.4,2016,Arun Prabhu Purushothaman,Drama,A gentle girl born brought amidst ever growing eco-social-consumeristic environment finds difficult fit society . She decides take hard people . What ... Read,Drama
Papanasam,8.4,2015,Jeethu Joseph,Crime,Desperate measures taken man tries save family dark side law commit unexpected crime .,"Crime, Drama, Thriller"
Mandela,8.4,2021,Madonne Ashwin,Comedy,A local barber 's fate turns overnight becomes single deciding vote village elections .,"Comedy, Drama"
