Movie Name,Rating,Year,Director,Genre,Summary,Genre List,Writers,User Reviews,URL,Cast 1,Cast 2
Vada Chennai,8.3,1983,Kundan Shah,Comedy,"Two photographers , employed magazine editor expose scandalous activities rich , come across corruption builder accidentally photograph murder .","Comedy, Crime, Drama",Ranjit Kapoor,62,https://www.imdb.com/title/tt0085743/?ref_=fea_eds_center-3_IndiaTop250_40,Naseeruddin Shah,Ravi Baswani
Jaane Bhi Do Yaaro,8.2,2006,Dibakar Banerjee,Comedy,A Delhi-based retired middle-class man tries half-heartedly get land back swindling property dealer help sons friends .,"Comedy, Crime, Drama",Jaideep Sahni,54,https://www.imdb.com/title/tt0466460/?ref_=fea_eds_center-3_IndiaTop250_41,Anupam Kher,Boman Irani
Khosla Ka Ghosla!,8.3,2018,Ram Kumar,Action,A sub-inspector sets pursuit mysterious serial killer targets teen school girls murders brutally .,"Action, Crime, Drama",Ram Kumar,571,https://www.imdb.com/title/tt7060344/?ref_=fea_eds_center-3_IndiaTop250_42,Vishnu Vishal,Amala Paul
Raatchasan,8.7,2018,Ram,Drama,"A single father tries raise daughter , cerebral palsy , even beginning wake sexuality .","Drama, Family",Ram,425,https://www.imdb.com/title/tt7738784/?ref_=fea_eds_center-3_IndiaTop250_43,Mammootty,Sadhana
Peranbu,8.2,1956,Satyajit Ray,Drama,"Following father 's death , boy leaves home study Calcutta , mother must face life alone .",Drama,Bibhutibhushan Bandyopadhyay,59,https://www.imdb.com/title/tt0048956/?ref_=fea_eds_center-3_IndiaTop250_44,Pinaki Sengupta,Smaran Ghosal
Aparajito,8.3,2014,Anjali Menon,Comedy,"A fun roller coaster ride three young people , Aju , Divya Kuttan cousins , reach Bangalore dream , discover explore .","Comedy, Drama, Romance",Anjali Menon,76,https://www.imdb.com/title/tt3668162/?ref_=fea_eds_center-3_IndiaTop250_45,Dulquer Salmaan,Nivin Pauly
Bangalore Days,8.4,2021,Shoojit Sircar,Biography,"A biopic detailing 2 decades Punjabi Sikh revolutionary , Udham Singh , spent planning assassination man responsible Jallianwala Bagh massacre .","Biography, Crime, Drama",Shubhendu Bhattacharya,953,https://www.imdb.com/title/tt10280296/?ref_=fea_eds_center-3_IndiaTop250_46,Vicky Kaushal,Shaun Scott
Sardar Udham,8.7,1993,I.V. Sasi,Action,"Neelakandan squanders away inheritance left father . However , life turns upside mother reveals terrible secret deathbed changes course li ... Read","Action, Drama, Thriller",Ranjith,14,https://www.imdb.com/title/tt0291855/?ref_=fea_eds_center-3_IndiaTop250_47,Mohanlal,Napolean
Devasuram,8.3,2015,Alphonse Puthren,Comedy,A young man three opportunities find love . Will third time charm ?,"Comedy, Drama, Romance",Alphonse Puthren,111,https://www.imdb.com/title/tt4679210/?ref_=fea_eds_center-3_IndiaTop250_48,Nivin Pauly,Sai Pallavi
Premam,8.3,1998,Ram Gopal Varma,Action,An innocent man embroiled underworld falsely charged sets punish perpetrators subjected life misery .,"Action, Crime, Drama",Anurag Kashyap,77,https://www.imdb.com/title/tt0195231/?ref_=fea_eds_center-3_IndiaTop250_49,J.D. Chakravarthi,Manoj Bajpayee
Satya,8.2,2012,Anurag Kashyap,Action,"A clash Sultan Shahid Khan leads expulsion Khan Wasseypur , ignites deadly blood feud spanning three generations .","Action, Comedy, Crime",Akhilesh Jaiswal,305,https://www.imdb.com/title/tt1954470/?ref_=fea_eds_center-3_IndiaTop250_50,Manoj Bajpayee,Nawazuddin Siddiqui
Gangs of Wasseypur,8.3,2019,Swaroop Rsj,Comedy,Agent Sai Srinivasa Athreya authentic humorous investigative thriller revolving around adventures detective based Nellore .,"Comedy, Crime, Mystery",Swaroop Rsj,174,https://www.imdb.com/title/tt10214826/?ref_=fea_eds_center-3_IndiaTop250_51,Naveen Polishetty,Shruti Sharma
Agent Sai Srinivasa Athreya,8.2,1955,Satyajit Ray,Drama,"Impoverished priest Harihar Ray , dreaming better life family , leaves rural Bengal village search work .",Drama,Bibhutibhushan Bandyopadhyay,203,https://www.imdb.com/title/tt0048473/?ref_=fea_eds_center-3_IndiaTop250_52,Kanu Bannerjee,Karuna Bannerjee
Pather Panchali,8.3,1975,Hrishikesh Mukherjee,Comedy,A newly wedded husband plays practical joke wife 's family full support wife friends .,"Comedy, Drama, Romance",Upendranath Ganguly,22,https://www.imdb.com/title/tt0072783/?ref_=fea_eds_center-3_IndiaTop250_53,Dharmendra,Sharmila Tagore
Chupke Chupke,8.4,2018,Nag Ashwin,Biography,"Biography Savitri , actress South India movie industry , ruled industry two decades 50s 60s .","Biography, Drama",Nag Ashwin,108,https://www.imdb.com/title/tt7465992/?ref_=fea_eds_center-3_IndiaTop250_54,Keerthy Suresh,Dulquer Salmaan
Mahanati,8.6,1988,Priyadarshan,Comedy,A woman hires stranger pose husband n't want ailing father know fiance broke engagement .,"Comedy, Drama, Musical",Priyadarshan,14,https://www.imdb.com/title/tt0214585/?ref_=fea_eds_center-3_IndiaTop250_55,Mohanlal,Nedumudi Venu
Chithram,8.2,2015,Nishikant Kamat,Crime,"Desperate measures taken man tries save family dark side law , commit unexpected crime .","Crime, Drama, Mystery",Jeethu Joseph,309,https://www.imdb.com/title/tt4430212/?ref_=fea_eds_center-3_IndiaTop250_56,Ajay Devgn,Shriya Saran
Drishyam,8.3,2019,Nitesh Tiwari,Comedy,"A tragic incident forces Anirudh , middle-aged man , take trip memory lane reminisce college days along friends , labelled losers .","Comedy, Drama, Romance",Piyush Gupta,736,https://www.imdb.com/title/tt9052870/?ref_=fea_eds_center-3_IndiaTop250_57,Sushant Singh Rajput,Shraddha Kapoor
Chhichhore,8.2,2013,Rakeysh Omprakash Mehra,Biography,"The truth behind ascension Milkha Singh , scarred India-Pakistan partition .","Biography, Drama, Sport",Prasoon Joshi,216,https://www.imdb.com/title/tt2356180/?ref_=fea_eds_center-3_IndiaTop250_58,Farhan Akhtar,Kousi Orfahli
Bhaag Milkha Bhaag,8.6,1995,Bhadran,Action,A small-town criminal constantly clashes strict school headmaster father expense family lives .,"Action, Drama",Raajendra Babu,19,https://www.imdb.com/title/tt0292246/?ref_=fea_eds_center-3_IndiaTop250_59,Mohanlal,Thilakan
Spadikam,8.3,1965,Vijay Anand,Drama,"When mistaken sage villagers , ex-tour guide reflects past lost love search spiritual wisdom guide villagers .","Drama, Romance",Vijay Anand,62,https://www.imdb.com/title/tt0059246/?ref_=fea_eds_center-3_IndiaTop250_60,Dev Anand,Waheeda Rehman
Guide,8.2,2017,Gayatri,Action,"Vikram , no-nonsense police officer , accompanied Simon , partner , hunt capture Vedha , smuggler murderer . Vedha tries change Vikram 's life , leads con ... Read","Action, Crime, Drama",Manikandan K.,207,https://www.imdb.com/title/tt6148156/?ref_=fea_eds_center-3_IndiaTop250_61,Madhavan,Vijay Sethupathi
Vikram Vedha,8.2,2011,Zoya Akhtar,Comedy,Three friends decide turn fantasy vacation reality one friends gets engaged .,"Comedy, Drama, Musical",Farhan Akhtar,239,https://www.imdb.com/title/tt1562872/?ref_=fea_eds_center-3_IndiaTop250_62,Hrithik Roshan,Farhan Akhtar
Zindagi Na Milegi Dobara,8.2,2018,Sriram Raghavan,Crime,"A series mysterious events change life blind pianist , must report crime technically know nothing .","Crime, Mystery, Thriller",Arijit Biswas,925,https://www.imdb.com/title/tt8108198/?ref_=fea_eds_center-3_IndiaTop250_63,Ayushmann Khurrana,Tabu
Andhadhun,8.3,2022,Lokesh Kanagaraj,Action,"A special investigator discovers case serial killings seems , leading path going end war everyone involved .","Action, Crime, Drama",Lokesh Kanagaraj,695,https://www.imdb.com/title/tt9179430/?ref_=fea_eds_center-3_IndiaTop250_64,Kamal Haasan,Vijay Sethupathi
Vikram,8.2,2018,Rahi Anil Barve,Drama,A mythological story goddess created entire universe . The plot revolves around consequences humans build temple first-born .,"Drama, Fantasy, Horror",Mitesh Shah,909,https://www.imdb.com/title/tt8239946/?ref_=fea_eds_center-3_IndiaTop250_65,Sohum Shah,Jyoti Malshe
Tumbbad,8.4,1997,Mani Ratnam,Biography,A struggling actor writer-politician become friends young men rise great heights cinema politics respectively . But become contenders top political po ... Read,"Biography, Drama",Mani Ratnam,36,https://www.imdb.com/title/tt0119385/?ref_=fea_eds_center-3_IndiaTop250_66,Mohanlal,Aishwarya Rai Bachchan
Iruvar,8.2,2004,Ashutosh Gowariker,Drama,A successful Indian scientist returns Indian village take nanny America process rediscovers roots .,"Drama, Musical",M.G. Sathya,364,https://www.imdb.com/title/tt0367110/?ref_=fea_eds_center-3_IndiaTop250_67,Shah Rukh Khan,Gayatri Joshi
Swades,8.3,2002,Mani Ratnam,Action,"A little girl told parents adopted . Determined find real mother , begs taken Sri Lanka , mother works militant group activists .","Action, Drama, War",Sujatha Rangarajan,49,https://www.imdb.com/title/tt0312859/?ref_=fea_eds_center-3_IndiaTop250_68,Keerthana Parthiepan,Simran
Kannathil Muthamittal,8.2,2019,Thiagarajan Kumararaja,Comedy,"An unfaithful newly-wed wife , estranged father , priest angry son suddenly find unexpected predicaments , poised experience destiny , one ... Read","Comedy, Crime, Drama",Thiagarajan Kumararaja,224,https://www.imdb.com/title/tt7019942/?ref_=fea_eds_center-3_IndiaTop250_69,Vijay Sethupathi,Fahadh Faasil
Super Deluxe,8.3,2024,Chidambaram,Adventure,"A group friends get daring rescue mission save friend Guna Caves , perilously deep pit nobody ever brought back .","Adventure, Drama, Thriller",Chidambaram,115,https://www.imdb.com/title/tt26458038/?ref_=fea_eds_center-3_IndiaTop250_70,Soubin Shahir,Sreenath Bhasi
Manjummel Boys,8.2,2000,Priyadarshan,Action,"Three unemployed men look answers money problems - opportunity arrives , know ?","Action, Comedy, Crime",Siddique,127,https://www.imdb.com/title/tt0242519/?ref_=fea_eds_center-3_IndiaTop250_71,Akshay Kumar,Suniel Shetty
Hera Pheri,8.3,2016,Nagraj Manjule,Drama,"In interior Maharashtra , fisherman 's son local politician 's daughter fall love restrictions caste hierarchy .","Drama, Romance",Nagraj Manjule,105,https://www.imdb.com/title/tt5312232/?ref_=fea_eds_center-3_IndiaTop250_72,Rinku Rajguru,Akash Thosar
Sairat,8.2,2012,Hansal Mehta,Biography,"The account Human Rights lawyer Shahid Azmi , ordinary citizen extraordinary commitment justice .","Biography, Drama",Sameer Gautam Singh,74,https://www.imdb.com/title/tt2181831/?ref_=fea_eds_center-3_IndiaTop250_73,Rajkummar Rao,Prabhleen Sandhu
Shahid,8.4,1999,S. Shankar,Action,"A man accepts challenge act Chief Minister Tamil Nadu one day , makes success soon embroiled political intrigue .","Action, Drama, Thriller",S. Shankar,13,https://www.imdb.com/title/tt0220656/?ref_=fea_eds_center-3_IndiaTop250_74,Arjun Sarja,Manisha Koirala
Mudhalvan,8.1,2003,Rajkumar Hirani,Comedy,A gangster sets fulfill father 's dream becoming doctor .,"Comedy, Drama",Vidhu Vinod Chopra,104,https://www.imdb.com/title/tt0374887/?ref_=fea_eds_center-3_IndiaTop250_75,Sanjay Dutt,Arshad Warsi
Munna Bhai M.B.B.S.,8.4,2016,Arun Prabhu Purushothaman,Drama,A gentle girl born brought amidst ever growing eco-social-consumeristic environment finds difficult fit society . She decides take hard people . What ... Read,Drama,Arun Prabhu Purushothaman,121,https://www.imdb.com/title/tt5867800/?ref_=fea_eds_center-3_IndiaTop250_76,Aditi Balan,Padmashri Mohammad Ali
Aruvi,8.4,2015,Jeethu Joseph,Crime,Desperate measures taken man tries save family dark side law commit unexpected crime .,"Crime, Drama, Thriller",Jayamohan,20,https://www.imdb.com/title/tt4429128/?ref_=fea_eds_center-3_IndiaTop250_77,Kamal Haasan,Gautami
Papanasam,8.3,1957,Guru Dutt,Drama,"Vijay , talented indigent poet , struggles love recognition selfish world .","Drama, Musical, Romance",Abrar Alvi,61,https://www.imdb.com/title/tt0050870/?ref_=fea_eds_center-3_IndiaTop250_78,Guru Dutt,Waheeda Rehman
Thirst,8.4,2021,Madonne Ashwin,Comedy,A local barber 's fate turns overnight becomes single deciding vote village elections .,"Comedy, Drama",Madonne Ashwin,141,https://www.imdb.com/title/tt10687070/?ref_=fea_eds_center-3_IndiaTop250_79,Yogi Babu,Sheela Rajkumar
Mandela,8.1,2007,Shimit Amin,Drama,"Kabir Khan , coach Indian Women 's National Hockey Team , dreams making all-girls team emerge victorious odds .","Drama, Family, Sport",Jaideep Sahni,148,https://www.imdb.com/title/tt0871510/?ref_=fea_eds_center-3_IndiaTop250_80,Shah Rukh Khan,Vidya Malvade
Chak De! India,8.2,2012,Tigmanshu Dhulia,Action,"The story Paan Singh Tomar , Indian athlete seven-time national steeplechase champion becomes one feared dacoits Chambal Valley retirement .","Action, Biography, Crime",Sanjay Chauhan,101,https://www.imdb.com/title/tt1620933/?ref_=fea_eds_center-3_IndiaTop250_81,Irrfan Khan,Mahie Gill
Paan Singh Tomar,8.2,2019,Aditya Dhar,Action,"Indian army special forces execute covert operation , avenging killing fellow army men base terrorist group .","Action, Drama, History",Aditya Dhar,1000,https://www.imdb.com/title/tt8291224/?ref_=fea_eds_center-3_IndiaTop250_82,Vicky Kaushal,Paresh Rawal
Uri: The Surgical Strike,8.4,2006,K. Selvaraghavan,Action,"After running away home , Kumar falls gang slowly rises ranks criminal underworld .","Action, Crime, Drama",Balakumaran,37,https://www.imdb.com/title/tt0459516/?ref_=fea_eds_center-3_IndiaTop250_83,Dhanush,Sneha
Pudhu Pettai,8.5,2010,Thiagarajan Kumararaja,Action,A mob boss must deal disgruntled mistress vanishing bag cocaine .,"Action, Comedy, Crime",Thiagarajan Kumararaja,25,https://www.imdb.com/title/tt1496729/?ref_=fea_eds_center-3_IndiaTop250_84,Sampath Raj,Jackie Shroff
Aaranya Kaandam,8.3,2022,Dijo Jose Antony,Crime,"As college professor 's brutal murder sparks student unrest , cop launches investigation lawyer seeks justice courtroom .","Crime, Drama, Thriller",Sharis Mohammed,214,https://www.imdb.com/title/tt13391710/?ref_=fea_eds_center-3_IndiaTop250_85,Prithviraj Sukumaran,Suraj Venjaramoodu
Jana Gana Mana,8.1,2005,Sanjay Leela Bhansali,Drama,"The cathartic tale young woman ca n't see , hear , speak , teacher brings ray light dark world .",Drama,Sanjay Leela Bhansali,183,https://www.imdb.com/title/tt0375611/?ref_=fea_eds_center-3_IndiaTop250_86,Amitabh Bachchan,Rani Mukerji
Black,8.1,1992,Mansoor Khan,Comedy,"A rich brat poor chap try woo girl , rivalry culminating prestigious college event - marathon cycle race .","Comedy, Drama, Romance",Nasir Hussain,42,https://www.imdb.com/title/tt0104561/?ref_=fea_eds_center-3_IndiaTop250_87,Aamir Khan,Ayesha Jhulka
Jo Jeeta Wohi Sikandar,8.2,2022,Abhishek Pathak,Crime,A gripping tale investigation family threatened . Will Vijay Salgaonkar able protect family time ?,"Crime, Drama, Mystery",Jeethu Joseph,177,https://www.imdb.com/title/tt15501640/?ref_=fea_eds_center-3_IndiaTop250_88,Ajay Devgn,Akshaye Khanna
Drishyam 2,8.1,2001,Ashutosh Gowariker,Drama,The people small village Victorian India stake future game cricket ruthless British rulers .,"Drama, Musical, Sport",Ashutosh Gowariker,321,https://www.imdb.com/title/tt0169102/?ref_=fea_eds_center-3_IndiaTop250_89,Aamir Khan,Raghubir Yadav
Lagaan: Once Upon a Time in India,8.2,2014,Karthik Subbaraj,Comedy,An aspiring director targets ruthless gangster wants make violent gangster film . His discreet attempts research gangster fail miserably . Finally gets caught ... Read,"Comedy, Crime, Drama",Karthik Subbaraj,45,https://www.imdb.com/title/tt3569782/?ref_=fea_eds_center-3_IndiaTop250_90,Siddharth,Bobby Simha
Jigarthanda,8.1,2014,Rajkumar Hirani,Comedy,An alien Earth loses device use communicate spaceship . His innocent nature child-like questions force country evaluate impact religious views ... Read,"Comedy, Drama, Sci-Fi",Rajkumar Hirani,695,https://www.imdb.com/title/tt2338151/?ref_=fea_eds_center-3_IndiaTop250_91,Aamir Khan,Anushka Sharma
PK,8.3,2013,Nalan Kumarasamy,Comedy,"Das , team , kidnap Arumai , son politician , planning kidnapping extract money father . Problems arise , insane cop brought handle ... Read","Comedy, Crime, Thriller",Srinivas Kavinayam,29,https://www.imdb.com/title/tt2877108/?ref_=fea_eds_center-3_IndiaTop250_92,Vijay Sethupathi,Sanchita Shetty
Soodhu Kavvum,8.4,2004,Kamal Haasan,Action,A temperamental farmer gets embroiled bloody clan feud southern Tamil Nadu village .,"Action, Crime, Drama",H. Banerjee,38,https://www.imdb.com/title/tt0364647/?ref_=fea_eds_center-3_IndiaTop250_93,Kamal Haasan,Abhirami
Virumandi,8.3,2023,Jude Anthany Joseph,Action,A disaster film set 2018 Kerala Floods people walks life faced catastrophic consequences put collective efforts survive calamity .,"Action, Drama, Thriller",Akhil P. Dharmajan,98,https://www.imdb.com/title/tt9006564/?ref_=fea_eds_center-3_IndiaTop250_94,Tovino Thomas,Kunchacko Boban
2018,8.1,1975,Ramesh Sippy,Action,"After family murdered notorious ruthless bandit , former police officer enlists services two outlaws capture bandit .","Action, Adventure, Comedy",Javed Akhtar,190,https://www.imdb.com/title/tt0073707/?ref_=fea_eds_center-3_IndiaTop250_95,Sanjeev Kumar,Dharmendra
Sholay,8.2,2016,Karthick Naren,Crime,"A police officer retires accident case investigation . Years later , forced relive past narrates story friend 's son .","Crime, Drama, Mystery",Karthick Naren,91,https://www.imdb.com/title/tt6380520/?ref_=fea_eds_center-3_IndiaTop250_96,Rahman,Prakash Raghavan
Dhuruvangal Pathinaaru,8.3,2014,M. Manikandan,Comedy,Two slum kids yearn taste pizza enticed pizza shop opened near locality . What happens manage find money buy one ?,"Comedy, Drama",Anand Annamalai,32,https://www.imdb.com/title/tt3973410/?ref_=fea_eds_center-3_IndiaTop250_97,Ramesh Thilaganathan,J. Vignesh
The Crow's Egg,8.1,1999,John Mathew Matthan,Action,"After brother killed father severely injured terrorists , young med student quits studies join Indian Police Service wipe terrorists .","Action, Crime, Drama",Hriday Lani,33,https://www.imdb.com/title/tt0200087/?ref_=fea_eds_center-3_IndiaTop250_98,Aamir Khan,Naseeruddin Shah
Sarfarosh,8.1,2012,Anurag Basu,Comedy,Three young people learn love neither defined contained society 's definition normal abnormal .,"Comedy, Drama, Romance",Anurag Basu,277,https://www.imdb.com/title/tt2082197/?ref_=fea_eds_center-3_IndiaTop250_99,Ranbir Kapoor,Priyanka Chopra Jonas
Barfi!,8.1,2010,Vikramaditya Motwane,Drama,"Expelled school , 16-year old boy returns home abusive oppressive father .",Drama,Vikramaditya Motwane,123,https://www.imdb.com/title/tt1639426/?ref_=fea_eds_center-3_IndiaTop250_100,Rajat Barmecha,Ronit Roy
Udaan,8.3,2016,Dileesh Pothan,Comedy,"Mahesh , studio photographer studio owner gets fight loses . He ends taking revenge leads certain realizations life .","Comedy, Drama, Thriller",Syam Pushkaran,36,https://www.imdb.com/title/tt4851630/?ref_=fea_eds_center-3_IndiaTop250_101,Fahadh Faasil,Aparna Balamurali
Maheshinte Prathikaaram,8.1,2015,Meghna Gulzar,Crime,An experienced investigator confronts several conflicting theories perpetrators violent double homicide .,"Crime, Drama, Mystery",Vishal Bhardwaj,114,https://www.imdb.com/title/tt4934950/?ref_=fea_eds_center-3_IndiaTop250_102,Irrfan Khan,Konkona Sen Sharma
Talvar,8.1,2012,Umesh Shukla,Comedy,A shopkeeper takes God court shop destroyed earthquake .,"Comedy, Drama, Fantasy",Alok Jha,157,https://www.imdb.com/title/tt2283748/?ref_=fea_eds_center-3_IndiaTop250_103,Paresh Rawal,Akshay Kumar
OMG: Oh My God!,8.3,1982,Gulzar,Comedy,"Based Shakespeare 's ' A Comedy Errors ' , story identical twins ( 2 pairs ) mistaken identities .",Comedy,Gulzar,24,https://www.imdb.com/title/tt0215517/?ref_=fea_eds_center-3_IndiaTop250_104,Sanjeev Kumar,Moushumi Chatterjee
Angoor,8.2,2017,H. Vinoth,Action,"Theeran , police officer , entrusted task solve mystery behind series murders . The clue left behind murders committed pattern .","Action, Crime, Thriller",H. Vinoth,68,https://www.imdb.com/title/tt7060460/?ref_=fea_eds_center-3_IndiaTop250_105,Karthi,Rakul Preet Singh
Theeran Adhigaram Ondru,8.2,2012,Anwar Rasheed,Comedy,"Faisi wants go UK become professional chef circumstances force assist grandfather small restaurant Kozhikode city , changing outlook life forever .","Comedy, Drama",Anjali Menon,52,https://www.imdb.com/title/tt2218988/?ref_=fea_eds_center-3_IndiaTop250_106,Dulquer Salmaan,Thilakan
Ustad Hotel,8.1,2013,Vikas Bahl,Adventure,A Delhi girl traditional family sets solo honeymoon marriage gets cancelled .,"Adventure, Comedy, Drama",Vikas Bahl,234,https://www.imdb.com/title/tt3322420/?ref_=fea_eds_center-3_IndiaTop250_107,Kangana Ranaut,Rajkummar Rao
Queen,8.1,2019,Anubhav Sinha,Crime,"In rural heartlands India , upright police officer sets crusade violent caste-based crimes discrimination .","Crime, Drama, Mystery",Anubhav Sinha,371,https://www.imdb.com/title/tt10324144/?ref_=fea_eds_center-3_IndiaTop250_108,Ayushmann Khurrana,Nassar
Article 15,8.1,2002,Rajkumar Santoshi,Action,The story young revolutionary raised armed resistance British rule India .,"Action, Biography, Drama",Ranjit Kapoor,57,https://www.imdb.com/title/tt0319736/?ref_=fea_eds_center-3_IndiaTop250_109,Ajay Devgn,Sushant Singh
The Legend of Bhagat Singh,8.3,1995,Suresh Krishna,Action,"An auto driver , Manikam , desperately tries hide dark underworld side keep promise father .","Action, Crime, Drama",Suresh Krishna,28,https://www.imdb.com/title/tt0139876/?ref_=fea_eds_center-3_IndiaTop250_110,Rajinikanth,Nagma
Baasha,8.2,2017,S.S. Rajamouli,Action,"Amarendra Baahubali , heir apparent throne Mahishmati , finds life relationships endangered adoptive brother Bhallaladeva conspires claim throne .","Action, Drama",Vijayendra Prasad,583,https://www.imdb.com/title/tt4849438/?ref_=fea_eds_center-3_IndiaTop250_111,Prabhas,Rana Daggubati
Baahubali 2: The Conclusion,8.1,2006,Rakeysh Omprakash Mehra,Comedy,"The story six young Indians assist English woman film documentary freedom fighters past , events lead relive long-forgotten saga f ... Read","Comedy, Crime, Drama",Renzil D'Silva,404,https://www.imdb.com/title/tt0405508/?ref_=fea_eds_center-3_IndiaTop250_112,Aamir Khan,Soha Ali Khan
Rang De Basanti,8.3,2003,Bala,Action,"Chittan , social outcast , grown cemetery . A drug dealer finds job cannabis farm . In prison , meets conman , Shakti . This friendship transforms stony e ... Read","Action, Drama",Bala,19,https://www.imdb.com/title/tt0376076/?ref_=fea_eds_center-3_IndiaTop250_113,Vikram,Suriya
Pithamagan,8.7,1989,T. Hariharan,Drama,The film offers alternative version fight two legendary Chekavars Chanthu 's perspective .,"Drama, History",M.T. Vasudevan Nair,45,https://www.imdb.com/title/tt0230597/?ref_=fea_eds_center-3_IndiaTop250_114,Mammootty,Madhavi
A Northern Story of Valor,8.1,2012,Sujoy Ghosh,Mystery,"A pregnant woman 's search missing husband takes London Kolkata , everyone questions denies ever met .","Mystery, Thriller",Sujoy Ghosh,213,https://www.imdb.com/title/tt1821480/?ref_=fea_eds_center-3_IndiaTop250_115,Vidya Balan,Parambrata Chattopadhyay
Kahaani,8,2016,Garth Davis,Biography,"A five-year-old Indian boy adopted Australian couple getting lost hundreds kilometers home . 25 years later , sets find lost family .","Biography, Drama",Saroo Brierley,653,https://www.imdb.com/title/tt3741834/?ref_=fea_eds_center-3_IndiaTop250_116,Dev Patel,Nicole Kidman
Lion,8.1,2015,Neeraj Ghaywan,Drama,"Along India 's Ganges River , four people face prejudice , strict moral code punishing caste system confront personal tragedies .",Drama,Akbar Allahabadi,127,https://www.imdb.com/title/tt4635372/?ref_=fea_eds_center-3_IndiaTop250_117,Richa Chadha,Sanjay Mishra
Masaan,8.1,2008,Neeraj Pandey,Action,A retiring police officer reminisces astounding day career . About case never filed continues haunt memories - case man Wedne ... Read,"Action, Crime, Drama",Neeraj Pandey,167,https://www.imdb.com/title/tt1280558/?ref_=fea_eds_center-3_IndiaTop250_118,Anupam Kher,Naseeruddin Shah
A Wednesday,8.1,2001,Farhan Akhtar,Comedy,"Three inseparable childhood friends college . Nothing comes - fall love , wildly different approaches relationships creates tension ... Read","Comedy, Drama, Romance",Kassim Jagmagia,139,https://www.imdb.com/title/tt0292490/?ref_=fea_eds_center-3_IndiaTop250_119,Aamir Khan,Saif Ali Khan
Dil Chahta Hai,8.3,2021,Vishnuvardhan,Action,"Shershaah story PVC awardee Indian soldier Capt . Vikram Batra , whose bravery unflinching courage chasing Pakistani soldiers Indian territory contributed immensely ... Read","Action, Biography, Drama",Sandeep Shrivastava,3000,https://www.imdb.com/title/tt10295212/?ref_=fea_eds_center-3_IndiaTop250_120,Sidharth Malhotra,Kiara Advani
Shershaah,8.2,2015,Ashwiny Iyer Tiwari,Drama,A story single woman ( Mom ) dreams Daughter .,"Drama, Family",Nitesh Tiwari,55,https://www.imdb.com/title/tt5005684/?ref_=fea_eds_center-3_IndiaTop250_121,Swara Bhasker,Riya Shukla
Nil Battey Sannata,8.3,2022,Jayprad Desai,Biography,An indian cricketer shows persistence hardwork achieve ultimate goal playing Ranji Trophy . At penultimate stage career age believed people 's ca ... Read,"Biography, Drama, Sport",Kedar Patankar,240,https://www.imdb.com/title/tt18568902/?ref_=fea_eds_center-3_IndiaTop250_122,Shreyas Talpade,Gaurav Kamble
Kaun Pravin Tambe?,8.1,2015,Kabir Khan,Action,An Indian man magnanimous heart takes young mute Pakistani girl back homeland reunite family .,"Action, Adventure, Comedy",Vijayendra Prasad,434,https://www.imdb.com/title/tt3863552/?ref_=fea_eds_center-3_IndiaTop250_123,Salman Khan,Harshaali Malhotra
Bajrangi Bhaijaan,8,2006,Rajkumar Hirani,Comedy,Munna Bhai embarks journey Mahatma Gandhi order fight corrupt property dealer .,"Comedy, Drama, Romance",Vidhu Vinod Chopra,124,https://www.imdb.com/title/tt0456144/?ref_=fea_eds_center-3_IndiaTop250_124,Sanjay Dutt,Arshad Warsi
Lage Raho Munna Bhai,8.3,2000,Mani Ratnam,Drama,"After difficult romance class-divided society , love birds find marriage thought would .","Drama, Musical, Romance",Mani Ratnam,28,https://www.imdb.com/title/tt0242256/?ref_=fea_eds_center-3_IndiaTop250_125,Madhavan,Shalini
Alai Payuthey,8.1,2005,Nagesh Kukunoor,Drama,"Iqbal , deaf mute son farmer , passion game cricket seeks tutelage washed-up , alcoholic ex-player .","Drama, Sport",Nagesh Kukunoor,29,https://www.imdb.com/title/tt0453729/?ref_=fea_eds_center-3_IndiaTop250_126,Shreyas Talpade,Naseeruddin Shah
Iqbal,8.1,1971,Hrishikesh Mukherjee,Drama,"The story terminally ill man wishes live life fullest inevitable occurs , told best friend .","Drama, Musical",Hrishikesh Mukherjee,152,https://www.imdb.com/title/tt0066763/?ref_=fea_eds_center-3_IndiaTop250_127,Rajesh Khanna,Amitabh Bachchan
Anand,8.3,2013,Pawan Kumar,Drama,"A man suffering insomnia tricked buying drug , Lucia , makes desires come true dreams , blurring line fantasy reality .","Drama, Sci-Fi, Thriller",Pawan Kumar,129,https://www.imdb.com/title/tt2358592/?ref_=fea_eds_center-3_IndiaTop250_128,Sathish Neenasam,Sruthi Hariharan
Lucia,8.2,2006,Bommarillu Baskar,Comedy,A young man realizes push back domineering father wants find true happiness love .,"Comedy, Drama, Romance",Bommarillu Baskar,25,https://www.imdb.com/title/tt0843326/?ref_=fea_eds_center-3_IndiaTop250_129,Siddharth,Genelia Deshmukh
Bommarillu,8.1,2016,Aniruddha Roy Chowdhury,Crime,"When three young women implicated crime , retired lawyer steps forward help clear names .","Crime, Drama, Thriller",Shoojit Sircar,236,https://www.imdb.com/title/tt5571734/?ref_=fea_eds_center-3_IndiaTop250_130,Amitabh Bachchan,Taapsee Pannu
