Movie Name,Rating,Year,Director,Genre,Summary,Genre List,Writers,User Reviews,URL,Cast 1,Cast 2
Lage Raho Munna Bhai,8,2006,Rajkumar Hirani,Comedy,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,"Comedy, Drama, Romance",,,,,
Badhaai Ho,7.9,2018,Amit Ravindernath Sharma,Comedy,A man is embarrassed when he finds out his mother is pregnant.,"Comedy, Drama",,,,,
Bajrangi Bhaijaan,8.1,2015,Kabir Khan,Action,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,"Action, Adventure, Comedy",,,,,
Ankhon Dekhi,7.9,2013,Rajat Kapoor,Comedy,"After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions.","Comedy, Drama",,,,,
Jab We Met,7.9,2007,Imtiaz Ali,Comedy,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,"Comedy, Drama, Romance",,,,,
12th Fail,8.9,2023,Vidhu Vinod Chopra,Biography,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,"Biography, Drama",,,,,
Dunki,6.6,2023,Rajkumar Hirani,Action,"When his friends in Punjab struggle to clear the immigration process, an ex-soldier guides them on a risky journey to enter the UK without permission.","Action, Adventure, Comedy",,,,,
Jawan,7,2023,Atlee,Action,A prison warden recruits inmates to commit outrageous crimes that shed light on corruption and injustice - and that lead him to an unexpected reunion.,"Action, Crime, Drama",,,,,
Pathaan,5.8,2023,Siddharth Anand,Action,"An Indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country.","Action, Adventure, Thriller",,,,,
Animal,6.2,2023,Sandeep Reddy Vanga,Action,The hardened son of a powerful industrialist returns home after years abroad and vows to take bloody revenge on those threatening his father's life.,"Action, Crime, Drama",,,,,
Leo,7.2,2023,Lokesh Kanagaraj,Action,"Parthiban is a mild-mannered cafe owner in Kashmir, who fends off a gang of murderous thugs and gains attention from a drug cartel claiming he was once a part of them.","Action, Crime, Drama",,,,,
Tiger 3,5.7,2023,Maneesh Sharma,Action,Tiger and Zoya are back - to save the country and their family. This time it's personal.,"Action, Adventure, Thriller",,,,,
Sam Bahadur,7.7,2023,Meghna Gulzar,Biography,Revolves around the high and low points of Sam Manekshaw who became the first Indian Army officer to be promoted to the rank of Field Marshal.,"Biography, Drama, War",,,,,
OMG 2,7.5,2023,Amit Rai,Comedy,An unhappy civilian asks the court to mandate comprehensive education in schools in a dramatic yet amusing courtroom play.,"Comedy, Drama",,,,,
Tu Jhoothi Main Makkaar,6,2023,Luv Ranjan,Comedy,"Madness ensues when a 'player' in the world of romantic relationships finds a girl who's a worthy opponent, that believes love is a battle of wits.","Comedy, Romance",,,,,
